,Date,Total Rainfall (mm),Mean Humidity (%),Station
0,2015-01-01,0.0,69,"Railway Colony, Guwahati - APCB_6941"
1,2015-01-02,0.0,69,"Railway Colony, Guwahati - APCB_6941"
2,2015-01-03,2.7,72,"Railway Colony, Guwahati - APCB_6941"
3,2015-01-04,1.7,85,"Railway Colony, Guwahati - APCB_6941"
4,2015-01-05,0.9,78,"Railway Colony, Guwahati - APCB_6941"
5,2015-01-06,0.0,79,"Railway Colony, Guwahati - APCB_6941"
6,2015-01-07,0.1,77,"Railway Colony, Guwahati - APCB_6941"
7,2015-01-08,1.1,79,"Railway Colony, Guwahati - APCB_6941"
8,2015-01-09,0.0,81,"Railway Colony, Guwahati - APCB_6941"
9,2015-01-10,0.0,72,"Railway Colony, Guwahati - APCB_6941"
10,2015-01-11,0.0,79,"Railway Colony, Guwahati - APCB_6941"
11,2015-01-12,0.0,74,"Railway Colony, Guwahati - APCB_6941"
12,2015-01-13,0.0,74,"Railway Colony, Guwahati - APCB_6941"
13,2015-01-14,0.0,69,"Railway Colony, Guwahati - APCB_6941"
14,2015-01-15,0.0,67,"Railway Colony, Guwahati - APCB_6941"
15,2015-01-16,0.0,67,"Railway Colony, Guwahati - APCB_6941"
16,2015-01-17,0.5,64,"Railway Colony, Guwahati - APCB_6941"
17,2015-01-18,0.0,78,"Railway Colony, Guwahati - APCB_6941"
18,2015-01-19,0.0,80,"Railway Colony, Guwahati - APCB_6941"
19,2015-01-20,0.0,81,"Railway Colony, Guwahati - APCB_6941"
20,2015-01-21,0.0,73,"Railway Colony, Guwahati - APCB_6941"
21,2015-01-22,0.0,74,"Railway Colony, Guwahati - APCB_6941"
22,2015-01-23,0.0,78,"Railway Colony, Guwahati - APCB_6941"
23,2015-01-24,0.0,78,"Railway Colony, Guwahati - APCB_6941"
24,2015-01-25,0.0,74,"Railway Colony, Guwahati - APCB_6941"
25,2015-01-26,0.0,76,"Railway Colony, Guwahati - APCB_6941"
26,2015-01-27,0.0,76,"Railway Colony, Guwahati - APCB_6941"
27,2015-01-28,0.0,80,"Railway Colony, Guwahati - APCB_6941"
28,2015-01-29,0.0,76,"Railway Colony, Guwahati - APCB_6941"
29,2015-01-30,0.0,72,"Railway Colony, Guwahati - APCB_6941"
30,2015-01-31,0.0,67,"Railway Colony, Guwahati - APCB_6941"
31,2015-02-01,0.0,65,"Railway Colony, Guwahati - APCB_6941"
32,2015-02-02,0.0,65,"Railway Colony, Guwahati - APCB_6941"
33,2015-02-03,0.0,62,"Railway Colony, Guwahati - APCB_6941"
34,2015-02-04,0.0,67,"Railway Colony, Guwahati - APCB_6941"
35,2015-02-05,0.3,66,"Railway Colony, Guwahati - APCB_6941"
36,2015-02-06,0.0,68,"Railway Colony, Guwahati - APCB_6941"
37,2015-02-07,0.0,74,"Railway Colony, Guwahati - APCB_6941"
38,2015-02-08,0.0,76,"Railway Colony, Guwahati - APCB_6941"
39,2015-02-09,0.0,76,"Railway Colony, Guwahati - APCB_6941"
40,2015-02-10,0.0,76,"Railway Colony, Guwahati - APCB_6941"
41,2015-02-11,0.0,72,"Railway Colony, Guwahati - APCB_6941"
42,2015-02-12,0.0,72,"Railway Colony, Guwahati - APCB_6941"
43,2015-02-13,0.6,72,"Railway Colony, Guwahati - APCB_6941"
44,2015-02-14,0.1,69,"Railway Colony, Guwahati - APCB_6941"
45,2015-02-15,0.1,72,"Railway Colony, Guwahati - APCB_6941"
