Date,Total Rainfall (mm),Mean Humidity (%)
2015-01-01,0.0,69
2015-01-02,0.0,69
2015-01-03,2.7,72
2015-01-04,1.7,85
2015-01-05,0.9,78
2015-01-06,0.0,79
2015-01-07,0.1,77
2015-01-08,1.1,79
2015-01-09,0.0,81
2015-01-10,0.0,72
2015-01-11,0.0,79
2015-01-12,0.0,74
2015-01-13,0.0,74
2015-01-14,0.0,69
2015-01-15,0.0,67
2015-01-16,0.0,67
2015-01-17,0.5,64
2015-01-18,0.0,78
2015-01-19,0.0,80
2015-01-20,0.0,81
2015-01-21,0.0,73
2015-01-22,0.0,74
2015-01-23,0.0,78
2015-01-24,0.0,78
2015-01-25,0.0,74
2015-01-26,0.0,76
2015-01-27,0.0,76
2015-01-28,0.0,80
2015-01-29,0.0,76
2015-01-30,0.0,72
2015-01-31,0.0,67
2015-02-01,0.0,65
2015-02-02,0.0,65
2015-02-03,0.0,62
2015-02-04,0.0,67
2015-02-05,0.3,66
2015-02-06,0.0,68
2015-02-07,0.0,74
2015-02-08,0.0,76
2015-02-09,0.0,76
2015-02-10,0.0,76
2015-02-11,0.0,72
2015-02-12,0.0,72
2015-02-13,0.6,72
2015-02-14,0.1,69
2015-02-15,0.1,72
2015-02-16,0.0,68
2015-02-17,0.0,67
2015-02-18,0.0,66
2015-02-19,2.2,73
2015-02-20,0.0,74
2015-02-21,1.0,73
2015-02-22,0.0,72
2015-02-23,0.0,71
2015-02-24,0.0,72
2015-02-25,1.5,77
2015-02-26,2.3,82
2015-02-27,7.4,77
2015-02-28,0.4,72
2015-03-01,0.2,77
2015-03-02,0.0,70
2015-03-03,0.5,59
2015-03-04,1.1,65
2015-03-05,0.1,65
2015-03-06,0.0,61
2015-03-07,0.0,61
2015-03-08,0.0,59
2015-03-09,0.0,53
2015-03-10,0.0,54
2015-03-11,0.0,42
2015-03-12,0.0,49
2015-03-13,0.0,56
2015-03-14,0.0,54
2015-03-15,0.0,54
2015-03-16,0.0,53
2015-03-17,0.0,51
2015-03-18,0.0,48
2015-03-19,0.0,46
2015-03-20,0.0,48
2015-03-21,0.0,51
2015-03-22,0.0,54
2015-03-23,1.7,59
2015-03-24,0.0,54
2015-03-25,0.0,54
2015-03-26,0.0,54
2015-03-27,2.5,70
2015-03-28,4.7,80
2015-03-29,0.2,73
2015-03-30,4.5,77
2015-03-31,3.5,74
2015-04-01,12.1,82
2015-04-02,27.4,90
2015-04-03,18.7,85
2015-04-04,13.3,88
2015-04-05,26.4,89
2015-04-06,4.6,84
2015-04-07,1.0,83
2015-04-08,3.8,80
2015-04-09,5.4,85
2015-04-10,0.2,79
2015-04-11,0.0,71
2015-04-12,0.0,66
2015-04-13,0.0,73
2015-04-14,0.0,69
2015-04-15,0.0,67
2015-04-16,0.0,64
2015-04-17,6.1,70
2015-04-18,28.9,88
2015-04-19,4.6,82
2015-04-20,3.2,80
2015-04-21,10.6,89
2015-04-22,38.4,93
2015-04-23,18.2,87
2015-04-24,5.4,85
2015-04-25,4.0,87
2015-04-26,1.0,80
2015-04-27,2.1,81
2015-04-28,4.5,82
2015-04-29,10.3,88
2015-04-30,2.4,84
2015-05-01,5.2,84
2015-05-02,5.5,85
2015-05-03,7.7,86
2015-05-04,2.4,85
2015-05-05,3.6,84
2015-05-06,8.8,85
2015-05-07,8.2,83
2015-05-08,4.8,83
2015-05-09,0.0,76
2015-05-10,6.1,81
2015-05-11,3.0,85
2015-05-12,8.7,86
2015-05-13,11.2,90
2015-05-14,5.5,87
2015-05-15,22.1,91
2015-05-16,1.0,90
2015-05-17,3.3,87
2015-05-18,5.6,87
2015-05-19,1.0,83
2015-05-20,0.2,78
2015-05-21,11.1,87
2015-05-22,4.9,87
2015-05-23,8.0,86
2015-05-24,9.0,87
2015-05-25,15.4,92
2015-05-26,3.6,86
2015-05-27,13.4,86
2015-05-28,10.6,90
2015-05-29,69.1,96
2015-05-30,23.6,95
2015-05-31,52.8,95
2015-06-01,6.0,89
2015-06-02,7.0,88
2015-06-03,4.1,89
2015-06-04,2.6,86
2015-06-05,4.7,89
2015-06-06,3.1,90
2015-06-07,11.7,91
2015-06-08,6.7,91
2015-06-09,16.8,91
2015-06-10,95.7,95
2015-06-11,31.6,93
2015-06-12,16.6,93
2015-06-13,10.0,92
2015-06-14,10.0,89
2015-06-15,13.6,94
2015-06-16,18.8,95
2015-06-17,1.7,89
2015-06-18,12.2,90
2015-06-19,4.1,87
2015-06-20,21.3,89
2015-06-21,21.3,92
2015-06-22,46.2,90
2015-06-23,29.6,92
2015-06-24,7.4,87
2015-06-25,1.5,83
2015-06-26,1.0,77
2015-06-27,1.3,80
2015-06-28,16.4,92
2015-06-29,1.2,85
2015-06-30,0.8,84
2015-07-01,0.9,86
2015-07-02,6.8,86
2015-07-03,1.9,87
2015-07-04,11.1,91
2015-07-05,40.9,95
2015-07-06,5.2,88
2015-07-07,28.7,87
2015-07-08,1.7,83
2015-07-09,3.5,85
2015-07-10,30.1,91
2015-07-11,33.6,91
2015-07-12,1.2,84
2015-07-13,2.8,86
2015-07-14,12.2,91
2015-07-15,38.2,97
2015-07-16,4.4,87
2015-07-17,5.9,84
2015-07-18,21.0,86
2015-07-19,29.2,88
2015-07-20,19.4,91
2015-07-21,77.3,96
2015-07-22,44.1,94
2015-07-23,29.0,92
2015-07-24,14.4,90
